full_name_in_English,acronym_EN,acronym_AGG,main_grouping,ROR,ROR_LINK,OpenAIRE_Org_ID,OpenAIRE_Org_ID_Explore_URL,numFound_ResearchProducts_OpenOrgs,numFound_ResearchProducts_2021_2024,Category,annual OpenAIRE membership costs,portal_costs,total_costs,costs_greater_than_2000
Utrecht University,UU,UU/UMCU,UNL,04pp8hn57,https://ror.org/04pp8hn57,openorgs____::3d57a5aadd2e0925bca78515278f2405,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3d57a5aadd2e0925bca78515278f2405,378710.0,65528.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
University of Amsterdam,UVA,UVA/AMC,UNL,04dkp9463,https://ror.org/04dkp9463,openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,358821.0,57411.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
University of Groningen,RUG,RUG/UMCG,UNL,012p63287,https://ror.org/012p63287,openorgs____::81371ea94b1a09d3243e73d6ec3527ec,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81371ea94b1a09d3243e73d6ec3527ec,323090.0,56132.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Leiden University,UL,UL/LUMC,UNL,027bh9e22,https://ror.org/027bh9e22,openorgs____::e42580548da4a1d39bb67b60b971056e,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e42580548da4a1d39bb67b60b971056e,218541.0,45204.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Vrije Universiteit (Free University),VU,VU/VUMC,UNL,008xxew50,https://ror.org/008xxew50,openorgs____::1624ff7c01bb641b91f4518539a0c28a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1624ff7c01bb641b91f4518539a0c28a,258379.0,44407.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Radboud University Nijmegen,RU,RU/RadboudUMC,UNL,016xsfp80,https://ror.org/016xsfp80,openorgs____::a3af79fec4d09764e56cd6d4df1d976a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a3af79fec4d09764e56cd6d4df1d976a,276808.0,44122.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Wageningen University & Research,WUR,WUR,UNL,04qw24q55,https://ror.org/04qw24q55,openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,285441.0,42749.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Delft University of Technology,TUD,TUD,UNL,02e2c7k09,https://ror.org/02e2c7k09,openorgs____::5e6bf8962665cdd040341171e5c631d8,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5e6bf8962665cdd040341171e5c631d8,230097.0,41983.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Maastricht University,UNIMAAS,UM/MaastrichtMC,UNL,02jz4aj89,https://ror.org/02jz4aj89,openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,161695.0,41652.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Erasmus University Rotterdam,EUR,EUR/ErasmusMC,UNL,057w15z03,https://ror.org/057w15z03,openorgs____::2f735203eb40d8389a881e874bee537a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2f735203eb40d8389a881e874bee537a,246440.0,37316.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
UMCU,UMCU,UU/UMCU,NFU,0575yy874,https://ror.org/0575yy874,openorgs____::81b64115eb383a27a9c1820a2c760c89,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81b64115eb383a27a9c1820a2c760c89,88884.0,25984.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
Radboud University Nijmegen Medical Centre,RadboudUMC,RU/RadboudUMC,NFU,05wg1m734,https://ror.org/05wg1m734,openorgs____::6c50ead5f8f9cac29c4c3066df9fba45,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6c50ead5f8f9cac29c4c3066df9fba45,82274.0,24449.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
LUMC,LUMC,UL/LUMC,NFU,05xvt9f17,https://ror.org/05xvt9f17,openorgs____::2eeca4f78f2a04a35057c1fa7918e23b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2eeca4f78f2a04a35057c1fa7918e23b,90510.0,23867.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
ErasmusMC,ErasmusMC,EUR/ErasmusMC,NFU,018906e22,https://ror.org/018906e22,openorgs____::46893b4080f9a8d38c83cd5bbdd68d52,https://explore.openaire.eu/search/organization?organizationId=openorgs____::46893b4080f9a8d38c83cd5bbdd68d52,72122.0,22339.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
University of Twente,UVT,UVT,UNL,006hf6230,https://ror.org/006hf6230,openorgs____::604881198363fedbb5d5478f465305f2,https://explore.openaire.eu/search/organization?organizationId=openorgs____::604881198363fedbb5d5478f465305f2,157550.0,22198.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
VUMC,VUMC,VU/VUMC,NFU,00q6h8f30,https://ror.org/00q6h8f30,openorgs____::df96ffc1951dc9bc14b0695e3297f6e1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::df96ffc1951dc9bc14b0695e3297f6e1,91337.0,20719.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
Eindhoven University of Technology,TUE,TUE,UNL,02c2kyt77,https://ror.org/02c2kyt77,openorgs____::db787c50cf46f2b08e69f830e292e42d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::db787c50cf46f2b08e69f830e292e42d,76589.0,16822.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
Amsterdam UMC,AUMC,AUMC,NFU,05grdyy37,https://ror.org/05grdyy37,openorgs____::2ce10b2528220091bd0363c1e39394c1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2ce10b2528220091bd0363c1e39394c1,20848.0,14638.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
Tilburg University,TiU,TiU,UNL,04b8v1s79,https://ror.org/04b8v1s79,openorgs____::b12b585c23a2b443b35cb33f57309a34,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b12b585c23a2b443b35cb33f57309a34,107749.0,14110.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
NWO,NWO,NWO,NWO-i,04jsz6e67,https://ror.org/04jsz6e67,openorgs____::c1a1811a679593a3e8b973f41bc8c8ea,https://explore.openaire.eu/search/organization?organizationId=openorgs____::c1a1811a679593a3e8b973f41bc8c8ea,48853.0,11899.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
MaastrichtMC,MaastrichtMC,UM/MaastrichtMC,NFU,02d9ce178,https://ror.org/02d9ce178,openorgs____::3c2c37b7745ae3202347c3fa594bc66a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3c2c37b7745ae3202347c3fa594bc66a,36106.0,11849.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
Royal Netherlands Academy of Arts and Sciences,KNAW,KNAW,KNAW,043c0p156,https://ror.org/043c0p156,openorgs____::cb77737b5a390319030e6abdb12aa6ad,https://explore.openaire.eu/search/organization?organizationId=openorgs____::cb77737b5a390319030e6abdb12aa6ad,27895.0,7820.0,3.0,,989.5384615384615,989.5384615384615,False
Naturalis,NAT,NAT,INDP,0566bfb96,https://ror.org/0566bfb96,openorgs____::dd29a935a8c8b552752fd00524f5c2a3,https://explore.openaire.eu/search/organization?organizationId=openorgs____::dd29a935a8c8b552752fd00524f5c2a3,30903.0,7754.0,3.0,,989.5384615384615,989.5384615384615,False
Amsterdam Medical Centre,AMC,UVA/AMC,NFU,03t4gr691,https://ror.org/03t4gr691,openorgs____::fe49cd5c84da7a89da723e24cadeb99d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::fe49cd5c84da7a89da723e24cadeb99d,66259.0,6419.0,3.0,,989.5384615384615,989.5384615384615,False
RIVM National Institute for Public Health and the Environment,RIVM,RIVM,RIJK,01cesdt21,https://ror.org/01cesdt21,openorgs____::ee938614ce34e199c2901282deb79db4,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ee938614ce34e199c2901282deb79db4,42198.0,6297.0,3.0,,989.5384615384615,989.5384615384615,False
Open University,OU,OU,UNL,018dfmf50,https://ror.org/018dfmf50,openorgs____::54f2e88f3eb801dc7e49a4ca90fdd1b6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::54f2e88f3eb801dc7e49a4ca90fdd1b6,17332.0,5622.0,3.0,,989.5384615384615,989.5384615384615,False
Data Archiving Networked Services (DANS),DANS,DANS,KNAW,008pnp284,https://ror.org/008pnp284,openorgs____::a8767e80afb51d63802fdf1ddabeacb0,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a8767e80afb51d63802fdf1ddabeacb0,9213.0,3356.0,4.0,,253.7278106508876,253.7278106508876,False
Amsterdam University of Applied Sciences,HVA,HVA,VH,00y2z2s03,https://ror.org/00y2z2s03,openorgs____::d0a66a264d47d18baba1821d678627f3,https://explore.openaire.eu/search/organization?organizationId=openorgs____::d0a66a264d47d18baba1821d678627f3,7769.0,2813.0,4.0,,253.7278106508876,253.7278106508876,False
"NIOZ, Royal Netherlands Institute for Sea Research",NIOZ,NIOZ,NWO-i,01gntjh03,https://ror.org/01gntjh03,openorgs____::eb2f1247784acef155801d95b5ac937b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::eb2f1247784acef155801d95b5ac937b,10570.0,2546.0,4.0,,253.7278106508876,253.7278106508876,False
NIVEL Netherlands Institute for Health Services Research,NIVEL,NIVEL,INDP,015xq7480,https://ror.org/015xq7480,openorgs____::19274b9a576d284a2b900e2f112f6a0c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::19274b9a576d284a2b900e2f112f6a0c,14282.0,2136.0,4.0,,253.7278106508876,253.7278106508876,False
TNO Netherlands Organisation for Applied Scientific Research,TNO,TNO,RIJK,01bnjb948,https://ror.org/01bnjb948,openorgs____::20e491a3310e7146d52161c825a980ec,https://explore.openaire.eu/search/organization?organizationId=openorgs____::20e491a3310e7146d52161c825a980ec,6005.0,1552.0,4.0,,253.7278106508876,253.7278106508876,False
IHE Delft Institute for Water Education,IHE,IHE,UN,030deh410,https://ror.org/030deh410,openorgs____::25b87dfee5c1855dab099c5a2eef225a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::25b87dfee5c1855dab099c5a2eef225a,5292.0,1526.0,4.0,,253.7278106508876,253.7278106508876,False
HAN University of Applied Sciences,HAN,HAN,VH,0500gea42,https://ror.org/0500gea42,openorgs____::048a44d990fd8a4710eef3a9e375360b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::048a44d990fd8a4710eef3a9e375360b,2968.0,1315.0,4.0,,253.7278106508876,253.7278106508876,False
Netherlands Institute of Ecology (NIOO),NIOO,NIOO,KNAW,01g25jp36,https://ror.org/01g25jp36,openorgs____::938a3404eacaedfe1b192d39178606eb,https://explore.openaire.eu/search/organization?organizationId=openorgs____::938a3404eacaedfe1b192d39178606eb,5854.0,1268.0,4.0,,253.7278106508876,253.7278106508876,False
"SRON, Netherlands Institute for Space Research",SRON,SRON,NWO-i,02wc0kq10,https://ror.org/02wc0kq10,openorgs____::1eaec9171998c0db1b627afe4a969430,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1eaec9171998c0db1b627afe4a969430,4339.0,1245.0,4.0,,253.7278106508876,253.7278106508876,False
NHTV Breda University of Applied Sciences,NHTV,NHTV,VH,04mfj5474,https://ror.org/04mfj5474,openorgs____::10020843b2d7fac7c04e40b55a631b0c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::10020843b2d7fac7c04e40b55a631b0c,5481.0,1178.0,4.0,,253.7278106508876,253.7278106508876,False
Netherlands eScience Center,NLESC,NLESC,NWO,00rbjv475,https://ror.org/00rbjv475,openorgs____::863c4184481f057bfe695c9c2786a90a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::863c4184481f057bfe695c9c2786a90a,1940.0,1144.0,4.0,,253.7278106508876,253.7278106508876,False
Hanze University of Applied Sciences Groningen,HANZE,HANZE,VH,00xqtxw43,https://ror.org/00xqtxw43,openorgs____::c254f2d5f6fdb12ecb37cfee25a3c4b1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::c254f2d5f6fdb12ecb37cfee25a3c4b1,2393.0,1124.0,4.0,,253.7278106508876,253.7278106508876,False
University of Applied Sciences Utrecht,HU,HU,VH,028z9kw20,https://ror.org/028z9kw20,openorgs____::8a1b859747bd305bc855914588006010,https://explore.openaire.eu/search/organization?organizationId=openorgs____::8a1b859747bd305bc855914588006010,2966.0,1119.0,4.0,,253.7278106508876,253.7278106508876,False
Netherlands Institute for Neuroscience,NIN,NIN,KNAW,05csn2x06,https://ror.org/05csn2x06,openorgs____::b411400e9cb43b74991acf165fdbaf42,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b411400e9cb43b74991acf165fdbaf42,3560.0,922.0,5.0,,,0.0,False
"ASTRON, Netherlands Institute for Radio Astronomy",ASTRON,ASTRON,NWO-i,000k1q888,https://ror.org/000k1q888,openorgs____::bc3c03a56c8ac610e083f74395896ed4,https://explore.openaire.eu/search/organization?organizationId=openorgs____::bc3c03a56c8ac610e083f74395896ed4,5700.0,803.0,5.0,,,0.0,False
Hubrecht Institute for Developmental Biology and Stem Cell Research,HUBRECHT,HUBRECHT,KNAW,023qc4a07,https://ror.org/023qc4a07,openorgs____::1820f7ff911f4cf656fd63fd17b2fea8,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1820f7ff911f4cf656fd63fd17b2fea8,2508.0,600.0,5.0,,,0.0,False
Rotterdam University of Applied Sciences,HR,HR,VH,0481e1q24,https://ror.org/0481e1q24,openorgs____::7ec8de16e11c7fc9f7e4e32923a42b22,https://explore.openaire.eu/search/organization?organizationId=openorgs____::7ec8de16e11c7fc9f7e4e32923a42b22,1888.0,592.0,5.0,,,0.0,False
Westerdijk Fungal Biodiversity Institute,WESTERDIJK,WESTERDIJK,KNAW,030a5r161,https://ror.org/030a5r161,openorgs____::e9afeb0f06cd2672f64eba5c50b58508,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e9afeb0f06cd2672f64eba5c50b58508,1626.0,570.0,5.0,,,0.0,False
National Research Institute for Mathematics and Computer Science ,CWI,CWI,NWO-i,00x7ekv49,https://ror.org/00x7ekv49,openorgs____::47f4bfbcef93eb928361dffaabd03b54,https://explore.openaire.eu/search/organization?organizationId=openorgs____::47f4bfbcef93eb928361dffaabd03b54,4347.0,568.0,5.0,,,0.0,False
"DIFFER, Dutch Institute for Fundamental Energy Research",DIFFER,DIFFER,NWO-i,03w5dn804,https://ror.org/03w5dn804,openorgs____::79a0e60afef2e753b0dc12425ecb3f8c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::79a0e60afef2e753b0dc12425ecb3f8c,3867.0,542.0,5.0,,,0.0,False
The Hague University of Applied Sciences,THUAS,THUAS,VH,021zvq422,https://ror.org/021zvq422,openorgs____::b232880c47fb92a22ffea8e2e749e0ac,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b232880c47fb92a22ffea8e2e749e0ac,1538.0,541.0,5.0,,,0.0,False
Fontys University of Applied Sciences,FONTYS,FONTYS,VH,01jwcme05,https://ror.org/01jwcme05,openorgs____::2885352ab1a441a9d387424888e30796,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2885352ab1a441a9d387424888e30796,1456.0,538.0,5.0,,,0.0,False
Zuyd University of Applied Sciences,ZUYD,ZUYD,VH,02m6k0m40,https://ror.org/02m6k0m40,openorgs____::0e7e1aa241c64ac17aee64c0be4be069,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0e7e1aa241c64ac17aee64c0be4be069,1484.0,449.0,5.0,,,0.0,False
NHL Stenden University of Applied Sciences,STENDEN,STENDEN,VH,02xgxme97,https://ror.org/02xgxme97,openorgs____::a7354d60fad3d5d2b4c5c7b874e36a5c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a7354d60fad3d5d2b4c5c7b874e36a5c,982.0,438.0,5.0,,,0.0,False
Saxion University of Applied Sciences,SAXION,SAXION,VH,005t9n460,https://ror.org/005t9n460,openorgs____::e086dd85625f9fe8b89dfc2d81441664,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e086dd85625f9fe8b89dfc2d81441664,1186.0,433.0,5.0,,,0.0,False
Nyenrode,NR,NR,INDP,018528593,https://ror.org/018528593,openorgs____::48ffea8c900e79deaa2256aa2c0a0ee2,https://explore.openaire.eu/search/organization?organizationId=openorgs____::48ffea8c900e79deaa2256aa2c0a0ee2,1215.0,375.0,5.0,,,0.0,False
Inholland University of Applied Sciences,INHOLLAND,INHOLLAND,VH,03cfsyg37,https://ror.org/03cfsyg37,openorgs____::5f081781d2510771c1c6686c4a37d1a1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5f081781d2510771c1c6686c4a37d1a1,864.0,349.0,5.0,,,0.0,False
Avans University of Applied Sciences,AVANS,AVANS,VH,015d5s513,https://ror.org/015d5s513,openorgs____::05ba90eee0e9eef094a77240339d0ee5,https://explore.openaire.eu/search/organization?organizationId=openorgs____::05ba90eee0e9eef094a77240339d0ee5,752.0,315.0,5.0,,,0.0,False
Windesheim University of Applied Sciences,WINDESHEIM,WINDESHEIM,VH,04zmc0e16,https://ror.org/04zmc0e16,openorgs____::a08a62c3e21dd693af009638e21aba11,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a08a62c3e21dd693af009638e21aba11,865.0,312.0,5.0,,,0.0,False
Protestant Theological University,PTHU,PTHU,INDP,016w23120,https://ror.org/016w23120,openorgs____::cb04606c0c4eb1696cf4bc74dba44bdf,https://explore.openaire.eu/search/organization?organizationId=openorgs____::cb04606c0c4eb1696cf4bc74dba44bdf,606.0,229.0,5.0,,,0.0,False
University of Applied Sciences Leiden,UAS LEIDEN,UAS LEIDEN,VH,0093src13,https://ror.org/0093src13,openorgs____::913ef94a4bc903f936164b00f287defa,https://explore.openaire.eu/search/organization?organizationId=openorgs____::913ef94a4bc903f936164b00f287defa,750.0,223.0,5.0,,,0.0,False
Van Hall Larenstein VHL University of Applied Sciences,VHL,VHL,VH,02mdbnd10,https://ror.org/02mdbnd10,openorgs____::06b2bdd4093a09b5f6c33521a7bf665c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::06b2bdd4093a09b5f6c33521a7bf665c,525.0,210.0,5.0,,,0.0,False
International Institute of Social History (IISH),IISH,IISH,KNAW,05dq4pp56,https://ror.org/05dq4pp56,openorgs____::a8369fe646a573e841439d2c24396b49,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a8369fe646a573e841439d2c24396b49,837.0,165.0,5.0,,,0.0,False
Beeld en Geluid,BG,BG,RIJK,025ae8628,https://ror.org/025ae8628,openorgs____::f2a84eb5c508838ba5dd728a1b8ac5ba,https://explore.openaire.eu/search/organization?organizationId=openorgs____::f2a84eb5c508838ba5dd728a1b8ac5ba,334.0,161.0,5.0,,,0.0,False
HZ University of Applied Sciences,HZ,HZ,VH,047cqa323,https://ror.org/047cqa323,openorgs____::de44646096a724bdba876f7f573e74eb,https://explore.openaire.eu/search/organization?organizationId=openorgs____::de44646096a724bdba876f7f573e74eb,358.0,150.0,5.0,,,0.0,False
"AMOLF, Physics of functional complex matter",AMOLF,AMOLF,NWO-i,038x9td67,https://ror.org/038x9td67,openorgs____::990dcc0a2b128304fdde55df641a47b4,https://explore.openaire.eu/search/organization?organizationId=openorgs____::990dcc0a2b128304fdde55df641a47b4,4021.0,141.0,5.0,,,0.0,False
SWOV Institute for Road Safety Research,SWOV,SWOV,INDP,053tsx367,https://ror.org/053tsx367,openorgs____::0a49c26b60b634e6f8f6334bb8e078ae,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0a49c26b60b634e6f8f6334bb8e078ae,436.0,122.0,5.0,,,0.0,False
HAS Green Academy,HASGREEN,HASGREEN,VH,05p706d77,https://ror.org/05p706d77,openorgs____::775eab3c1281cb91d53a31c4a1ba1090,https://explore.openaire.eu/search/organization?organizationId=openorgs____::775eab3c1281cb91d53a31c4a1ba1090,261.0,119.0,5.0,,,0.0,False
SCP Netherlands Institute for Social Research,SCP,SCP,RIJK,04tagjk85,https://ror.org/04tagjk85,openorgs____::374bcee2ff43200e9afe71b6dc606e6c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::374bcee2ff43200e9afe71b6dc606e6c,383.0,104.0,5.0,,,0.0,False
National Library of the Netherlands,KB,KB,RIJK,02w4jbg70,https://ror.org/02w4jbg70,openorgs____::403e6e459ecef2719a1459eecf70aaca,https://explore.openaire.eu/search/organization?organizationId=openorgs____::403e6e459ecef2719a1459eecf70aaca,379.0,104.0,5.0,,,0.0,False
Christian University of Applied Sciences Viaa,CHE,CHE,VH,04tj5wz42,https://ror.org/04tj5wz42,openorgs____::04a66697fceec5d5e3bbf19b85135356,https://explore.openaire.eu/search/organization?organizationId=openorgs____::04a66697fceec5d5e3bbf19b85135356,217.0,93.0,5.0,,,0.0,False
Royal Netherlands Institute of Southeast Asian and Caribbean Studies (KITLV),KITLV,KITLV,KNAW,01bdv4312,https://ror.org/01bdv4312,openorgs____::6a6ff788c9f916d156e88942155543c8,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6a6ff788c9f916d156e88942155543c8,390.0,92.0,5.0,,,0.0,False
SURF ,SURF,SURF,INDP,009vhk114,https://ror.org/009vhk114,openorgs____::40a6eddd9af7a097cb83adb7c7b7fe55,https://explore.openaire.eu/search/organization?organizationId=openorgs____::40a6eddd9af7a097cb83adb7c7b7fe55,100.0,71.0,5.0,,,0.0,False
Hotelschool The Hague,HOTELSCHOOL,HOTELSCHOOL,VH,018t8yw14,https://ror.org/018t8yw14,openorgs____::a5ac6dbe326433376c900329853d914a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a5ac6dbe326433376c900329853d914a,119.0,58.0,5.0,,,0.0,False
University of the Arts Utrecht: HKU,HKU,HKU,VH,018bzp792,https://ror.org/018bzp792,openorgs____::c143bad570ce1ce6c1c5956f5f2d96ee,https://explore.openaire.eu/search/organization?organizationId=openorgs____::c143bad570ce1ce6c1c5956f5f2d96ee,201.0,48.0,5.0,,,0.0,False
Theological University  of Apeldoorn,TUA,TUA,INDP,03s2fjy85,https://ror.org/03s2fjy85,openorgs____::14e84ae5ab9b8fd2b05b65c19551a416,https://explore.openaire.eu/search/organization?organizationId=openorgs____::14e84ae5ab9b8fd2b05b65c19551a416,95.0,46.0,5.0,,,0.0,False
Amsterdam University/School of the Arts,AHK,AHK,VH,04dde1554,https://ror.org/04dde1554,openorgs____::57a751ebab17a6996ba6836a89548f35,https://explore.openaire.eu/search/organization?organizationId=openorgs____::57a751ebab17a6996ba6836a89548f35,98.0,44.0,5.0,,,0.0,False
ArtEZ University of the Arts,ARTEZ,ARTEZ,VH,05az93f25,https://ror.org/05az93f25,openorgs____::e79c2bf184a99250523a378626875955,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e79c2bf184a99250523a378626875955,35.0,21.0,5.0,,,0.0,False
Driestar Christian University for Teacher Education,DRIESTAR,DRIESTAR,VH,05jext738,https://ror.org/05jext738,openorgs____::2d77f3a9829f7a9651ec60f597b479cd,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2d77f3a9829f7a9651ec60f597b479cd,40.0,14.0,5.0,,,0.0,False
Royal Academy of Art,KABK,KABK,VH,00490vc18,https://ror.org/00490vc18,openorgs____::919801f3040011bbef2dd28020917c7f,https://explore.openaire.eu/search/organization?organizationId=openorgs____::919801f3040011bbef2dd28020917c7f,30.0,13.0,5.0,,,0.0,False
"Codarts, University for the Arts",CODARTS,CODARTS,VH,04vtvrr13,https://ror.org/04vtvrr13,openorgs____::bb88336ade9d2deeece4dee6262054b4,https://explore.openaire.eu/search/organization?organizationId=openorgs____::bb88336ade9d2deeece4dee6262054b4,33.0,12.0,5.0,,,0.0,False
Design Academy Eindhoven,DESIGN,DESIGN,VH,039vq9023,https://ror.org/039vq9023,openorgs____::4b2a9d306955ede352ba267af8616375,https://explore.openaire.eu/search/organization?organizationId=openorgs____::4b2a9d306955ede352ba267af8616375,27.0,9.0,5.0,,,0.0,False
Gerrit Rietveld Academie,RIETVELD,RIETVELD,VH,053jpjd80,https://ror.org/053jpjd80,openorgs____::95e5f0e3696306902a6749c406bb2728,https://explore.openaire.eu/search/organization?organizationId=openorgs____::95e5f0e3696306902a6749c406bb2728,11.0,5.0,5.0,,,0.0,False
"IPABO, University of Professional Teacher Education",IPABO,IPABO,VH,0230zs006,https://ror.org/0230zs006,openorgs____::3f27054a1ab469826b9d3a1915452f89,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3f27054a1ab469826b9d3a1915452f89,6.0,4.0,5.0,,,0.0,False
"Katholieke (Catholic) Pabo Zwolle, KPZ",KPZ,KPZ,VH,05nrjb178,https://ror.org/05nrjb178,openorgs____::0ac7645722cfee8253ce68cd2ab609c6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0ac7645722cfee8253ce68cd2ab609c6,94.0,4.0,5.0,,,0.0,False
Marnix Academie University for Teacher education,MARNIX,MARNIX,VH,03xws5b35,https://ror.org/03xws5b35,openorgs____::8cf49add8601037458e4ecdbd63a1c42,https://explore.openaire.eu/search/organization?organizationId=openorgs____::8cf49add8601037458e4ecdbd63a1c42,9.0,3.0,5.0,,,0.0,False
Iselinge University of Professional Teacher Education,ISELINGE,ISELINGE,VH,047kqmy39,https://ror.org/047kqmy39,openorgs____::74691942ddde3989519f008b551ebb35,https://explore.openaire.eu/search/organization?organizationId=openorgs____::74691942ddde3989519f008b551ebb35,4.0,0.0,5.0,,,0.0,False
De Kempel University of Applied Sciences,KEMPEL,KEMPEL,VH,056k6yz11,https://ror.org/056k6yz11,openorgs____::4aebed7bd67813bb8a325eb410a392be,https://explore.openaire.eu/search/organization?organizationId=openorgs____::4aebed7bd67813bb8a325eb410a392be,1.0,0.0,5.0,,,0.0,False
UMCG,UMCG,RUG/UMCG,NFU,03cv38k47,https://ror.org/03cv38k47,,,,,,,,0.0,False
